Planta,Fecha Levantamiento,Ubicacion,Total Imagenes,Imagenes Etiquetadas,Total de fallas,StringDesconectado,StringCortoCircuito,ModuloCircuitoAbierto,BusBar,ModuloCortoCircuito,CelulaCaliente,ByPass,PID,Tracker Fuera de Pos
Campos del Sol,12/2023,"AD-Pan-02, AD-Pan-05",42238,3216,15007,6,0,0,620,70,14207,0,0,104
Finis Terrae,12/2023,"AD-Pan-02, AD-Pan-05",25588,16234,40507,10700,32,0,19500,329,9860,0,0,86
Lalakama,12/2023,"AD-Pan-05, AD-PAN-TR01",29980,18744,40203,54,0,133,18285,9721,12010,0,0,0
MEM,11/2023,AD-Pan-04,917,69,100,0,0,0,26,0,74,0,0,0
Pampa Norte,04/2023,AD-Pan-02,21065,3206,3969,36,0,0,3572,263,98,0,0,0
Finis Terrae,04/2023,AD-Pan-02,16651,7692,16175,2717,0,10,11459,489,1500,0,0,0
PV,09/2023,AD-Pan-02,9852,4490,34039,6,0,3,68,61,33538,0,0,363
Solek-MEM,11/2023,AD-Pan-04,917,69,100,0,0,0,26,0,74,0,0,0
Finis Terrae Ext,10/2023,AD-Pan-04,18217,113,134,26,0,0,90,0,18,0,0,0
PLS,10/2023,AD-Pan-04,563,144,245,40,0,0,157,10,19,0,6,13
VDS,10/2023,AD-Pan-04,16510,461,1566,37,0,0,94,0,1413,0,0,22
